NSN,rep_office,common_name,Description,Price,UI,AAC
5120-01-367-3805,Hardware,Screwdriver (Phillips),"Class 2: Bolster. These straight, handle type, corrosion preventive coated, Phillips or Pozidriv screwdrivers are for inserting and removing screws with a cross tip slotted recess. It is the perfect tool used by all trades. Describe by (Tip Size, Total Le",19.3,EA,H
5120-01-367-3850,Hardware,Electronic Pliers (Needle Nose),"Class 4: Needle Nose. These round nose pliers are perfect for bending & shaping wire. They have tapered, circular jaws that form rounded gripping surfaces. They are made of drop forged steel & have polished heads. The jaws are either smooth or serrated. F",5.61,EA,H
5120-01-367-4641,Hardware,Pliers (Round Nose),"Type: III (Round nose), Class: 4 (Needle nose), Style: A (Without cutter) These solid joint pliers are perfectly formed to fit your needs. They have a scored, flat, gripping surfaces for forming, bending and handling small objects and reaching into openin",18.05,EA,H
5120-01-367-4642,Hardware,Pliers (Round Nose),"Type: III (Round nose), Class: 4 (Needle nose), Style: A (Without cutter) These solid joint pliers are perfectly formed to fit your needs. They have a scored, flat, gripping surfaces for forming, bending and handling small objects and reaching into openin",14.47,EA,H
5120-01-367-4645,Hardware,Pliers (Round Nose),"Type: III (Round nose), Class: 2 (Bent nose). These solid joint pliers are perfectly formed to fit your needs. They have a scored, flat, gripping surfaces for forming, bending and handling small objects and reaching into openings.  ASME B107.500 Cat 13.",22.76,EA,H
5120-01-367-4646,Hardware,Pliers (Flat/Duck Bill Nose),"Type: I (Flat/Duck Bill Nose), Class: 3 (Wide Nose), Style: A (Without Cutter) These solid joint flat pliers are perfectly formed to fit your needs. They all have a scored, flat, gripping surfaces for forming, bending & handling small objects & reaching i",15.01,EA,H
5120-01-367-6977,Hardware,Hex Key (Ball End),Long series has a long arm length for reaching difficult areas or for providing greater leverage. This ball end style hex key (Allen) wrench set tightens and loosens fasteners with a hexagonal hole in the screw head and can be used at angles up to 25°. Th,0.99,EA,H
5120-01-367-7116,Hardware,Pin Vise,"For hand or machine use, vise holds files, taps, small drills & other small, round items securely. One end has a knurled handle made of hollow metal, the other end has a chuck with three or four jaws & a knurled sleeve. Hollow extends full length. Made of",106.06,EA,H
5120-01-367-7217,Hardware,Screwdriver (Phillips),"Class 3: Stubby These straight, handle type, corrosion preventive coated, Phillips or Pozidriv screwdrivers are for inserting and removing screws with a cross tip slotted recess. It is the perfect tool used by all trades. Describe by (Tip Size, Total Leng",5.54,EA,H
5120-01-367-7246,Hardware,Pliers (Flat/Duck Bill Nose),"Type: I (Flat/Duck Bill Nose), Class: 4 (Long Reach, Flat Nose ) These solid joint flat pliers are perfectly formed to fit your needs. They all have a scored, flat, gripping surfaces for forming, bending & handling small objects & reaching into openings. ",15.01,EA,H
5120-01-368-1646,Hardware,Box Wrench,IAW Granco Industries drawing 5120-01-368-1646.,64.05,EA,H
5120-01-368-2433,Hardware,Screwdriver Bit (Phillips),"These screwdriver bits are designed for use with hand driven tools. The hardened steel bit includes a male hexagonal shank and is corrosion resistant. Described by (Size, Shank, Length).",1.04,EA,H
5120-01-368-2442,Hardware,Screwdriver Bit (Phillips),"These screwdriver bits are designed for use with power tools. The hardened steel bit includes a male hexagonal shank and is corrosion resistant. Described by (Size, Shank, Length).",0.4,EA,H
5120-01-368-4167,Hardware,Craftsmans Tweezers,"Repair instruments, grip small objects or solder with these tweezers. These general use, chrome plated steel tweezers have a welded, brazed or riveted joint with right & left hand legs join to form a solid, durable tool.",16.39,EA,H
5120-01-368-4192,Hardware,Inspection Mirror,Has a rectangular glass mirror. Spring loaded mirror for one handed operation has plunger actuated angle adjustment & may be locked into any 360° angle. Chromium or nickel plated steel mirror comes with handle and angle adjustment mechanism. Reflecting su,8.29,EA,H
5120-01-368-4193,Hardware,Inspection Mirror,Circular mirror has silvered glass and a metal back. Ball swivel joint mirror has a secure knurled handgrip. Ball joint adjustment holds mirror in preset position or angle. Chromium or nickel plated steel mirror comes with handle and angle adjustment mech,5.72,EA,H
5120-01-368-8316,Hardware,Leveling Support Jack,"IAW US Army, Natick Research and Development Center drawing 5-4-2866, Rev E, and Parts List, Rev B.",2691.36,EA,H
5120-01-369-0629,Hardware,Punches (Pin),"Class 5: Pin (Drive). For driving and removing such things as pins and keys after initial movement by a starting punch. These punches are used for marking metals, driving / removing pins & rivets & aligning holes. ASME B107.410 Cat 48.",4.66,EA,H
5120-01-369-0651,Hardware,"Punches (Drift, Lining-Up)","Class 4: Drift (Lining-Up). For aligning & sizing holes in metals & other materials. These punches are used for marking metals, driving / removing pins & rivets & aligning holes. ASME B107.410 Cat 48.",18.56,EA,H
5120-01-369-0660,Hardware,Scratch Awl,"Scratch awl/pick is useful for scribing, alignment, O-ring removal, piercing holes in leather or fabric and cleaning nooks / crannies.",2.33,EA,H
5120-01-369-2037,Hardware,Combination Wrench (Box and Open End),Style B: Short Length. Combination box and open end style wrench has a thin wall 15° offset box end and a 15° head angle on the open end. The open end is suitable for use on hexagonal and square headed bolts and nuts. Box end is 12 point. AS954.,9.41,EA,H
5120-01-370-6227,Hardware,Open End Wrench Set (Double Head) Angle Style,"Wrench set consists of (8) pieces in sizes: 4mm x 5mm, 5mm x 4mm, 4.5mm x 5.5mm, 5.5mm x 4.5mm, 6mm x 7mm, 7mm x 6mm, 8mm x 9mm & 9mm x 8mm. These angle style open end wrench sets are double headed. The heads are angled 15° one end and 60 ° on the other e",33,SE,H
5120-01-370-6476,Hardware,Tap and Reamer Wrench,"Bolt and screw tap capacity: 3/16"" to 5/8"". Steel wrench has a straight handle & adjustable jaw for holding & supplying torque to manually rotated taps & reamers. The wrench has two handles: one handle is integral with & screwed into the body, the other i",118.57,EA,H
5120-01-370-6693,Hardware,Electrical Connector Pliers,"Designed for loosening and tightening threaded lock collar of electrical connectors. Plastic jaw inserts prevent marring of the gripping surface of the collar. Jaw opening is 3/4 to 2-1/2"" with a minimum of four jaw positions. ASME B107.500 Cat 27",10.64,EA,H
5120-01-371-3787,Hardware,"Adapter, Socket Wrench Extension","Adapter is for 1/4 inch square drive extension.  Attaches to existing extension by the use of a setscrew.  Setscrew can be locked on with a 3/32 inch hex key.  It has a locking force of 200 lbs plus, and withstands torque loads in excess of 175 ft lbs.
",14.33,EA,H
5120-01-371-3788,Hardware,"Adapter, Socket Wrench Extension",Adapter is for 3/8 inch square drive extension.  Attaches to existing extension by the use of a setscrew.  Setscrew can be locked on with 1/8 inch hex key.  It has a locking force of 200 LBS minimum  and can withstand torque loads over 175 FT.-LBS.,15,EA,H
5120-01-372-5753,Hardware,Terminal Crimping Tool,These crimp tools feature a rugged construction & assures repeatability & durability. Crimp tools for each and every different application.,19.88,EA,H
5120-01-373-8833,Hardware,Open End Wrench (Double Head),"Regular Length These open ended, engineer's style double headed wrenches are black oxide coated & have a 15° angle on both ends. B107.100 Cat 39.",16.08,EA,H
5120-01-373-8976,Hardware,Box Wrench,"IAW Department of Defense Project Manager-Mobile Electric Power, drawing No. 88-21146.",73.83,EA,H
5120-01-374-0532,Hardware,Hand Jack (Hydraulic),"IAW U. S. Army Tank Automotive Command Drawing 1240061. This self contained, hand operated, hydraulic jack performs a wide variety of lifting, straightening, shoring, bracing and bending applications. Use it for general industrial and automotive maintenan",239.24,EA,H
5120-01-374-1926,Hardware,Torque Wrench,Capacity: 10 to 50 inch pounds in 1 inch pound increments. Type 2: Uni-directional. Class 2: Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be operated ,136.96,EA,H
5120-01-374-1928,Hardware,Torque Wrench,Capacity: 40 to 200 inch pounds in 1 inch pound increments. Type 2: Uni-directional. Class 2: Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be operated,183.56,EA,H
5120-01-374-1931,Hardware,Torque Wrench,Capacity: 150 to 750 inch pounds in 5 inch pound increments. Type 2: Uni-directional. Class 1: Non-Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be ope,149.69,EA,H
5120-01-374-1932,Hardware,Torque Wrench,Capacity: 150 to 750 inch pounds in 5 inch pound increments. Type 2: Uni-directional. Class 2: Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be operate,176.1,EA,H
5120-01-374-1935,Hardware,Torque Wrench,Capacity: 30 to 150 foot pounds in 1 foot pound increments. Type 2: Uni-directional. Class 1: Non-Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be oper,166.36,EA,H
5120-01-374-1936,Hardware,Torque Wrench,Capacity: 30 to 150 foot pounds in 1 foot pound increments. Type 2: Uni-directional. Class 2: Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be operated,187.1,EA,H
5120-01-374-1938,Hardware,Torque Wrench,Capacity: 50 to 250 foot pounds in 1 foot pound increments. Type 2: Uni-directional. Class 2: Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be operated,195.35,EA,H
5120-01-374-1939,Hardware,Torque Wrench,Capacity: 120 to 600 foot pounds in 5 foot pound increments. Type 2: Uni-directional. Class 2: Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be operate,679.45,EA,H
5120-01-375-0070,Hardware,Hand Jack (Scissors),IAW US Army Tank Automotive and Armament Command Drawing 57K3228.,181.7,EA,H
5120-01-375-0215,Hardware,Unlocking Rod,"Used for NSN: 2330-01-303-5197, Palletized Trailer.",88.74,EA,H
5120-01-375-4373,Hardware,Box Wrench,"IAW Mobile Electric Power Drawing Number 88-21147, Revision C.",79.51,EA,H
5120-01-375-5307,Hardware,Banding Tool,Used to install termination bands of EMI/RFI shielded cable.,2233.98,EA,H
5120-01-376-5121,Hardware,Nut Driver (Conventional),"Type 1: Conventional length, Class 1: Solid shaft, Style A: Conventional handle (Color Coded). These 6 point nut drivers have a screwdriver type handle & are perfect for tightening those nuts that require the perfect touch. The exceptionally strong driver",7.13,EA,H
5120-01-377-4599,Hardware,CTS Module Extractor,IAW Military Specification MIL-PRF-22885/108.,46.21,EA,H
5120-01-378-5002,Hardware,Socket Wrench (Reversible Ratchet),"Style B: Fine Action. This socket wrench has a steel handle, round shank and comfortable handgrip. The male drive tang has a spring loaded steel ball to hold sockets and attachments firmly in place. It has a gear head or clutch type ratchet mechanism and ",15.85,EA,H
5120-01-378-5299,Hardware,Socket Wrench Size Adapter,"This versatile attachment enables a socket of one drive size to be used with a handle or extension of another drive size. Designed only for use with hand tools, no impacts. ASME  B107.10.",10.48,EA,H
5120-01-378-5361,Hardware,Handle,"Handle (No Head, replaceable heads). Used with ratchet heads, sliding T-head, and breaker bars. Accepts sealed and non-sealed ratchet heads.",41.42,EA,H
5120-01-378-5398,Hardware,Socket (Regular Length),"Type I: Sockets, Class 1: Sockets (12 Point), Style A: Regular Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954",38.82,EA,H
5120-01-378-5508,Hardware,Impact Driver (Manual),Set has a manual impact driver type handle. The drive rotates when the handle is struck. Has a square male drive. Steel with industrial black oxide or phosphate coating.,24.45,EA,H
5120-01-378-5543,Hardware,Socket (Regular Length),"Type I: Sockets, Class 1: Sockets (12 Point), Style A: Regular Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954",14.6,EA,H
5120-01-378-5733,Hardware,Socket (Regular Length),"Type I: Sockets, Class 1: Sockets (12 Point), Style A: Regular Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954",30.43,EA,H
5120-01-378-5897,Hardware,Socket Wrench Size Adapter,"This versatile attachment enables a socket of one drive size to be used with a handle or extension of another drive size. Designed only for use with hand tools, no impacts. ASME  B107.10.",13.53,EA,H
5120-01-378-6054,Hardware,Socket Extension (Solid Shank),"This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",25.38,EA,H
5120-01-378-6699,Hardware,Socket (Regular Length),"Type I: Sockets, Class 1: Sockets (12 Point), Style A: Regular Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954",24.36,EA,H
5120-01-378-6700,Hardware,Socket (Regular Length),"Type I: Sockets, Class 1: Sockets (12 Point), Style A: Regular Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954",14.1,EA,H
5120-01-378-8226,Hardware,Box Wrench (Double Head),"Type 2: Box Wrench, Class 1: Angled end, Style B: Long length. These double head, thin wall, high strength box wrenches come in a 12 point design. AS954.",14.36,EA,H
5120-01-378-8340,Hardware,Socket (Regular Length),"Type I: Sockets, Class 1: Sockets (12 Point), Style A: Regular Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954",11.86,EA,H
5120-01-378-8392,Hardware,Socket Extension (Solid Shank),"This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",9.89,EA,H
5120-01-378-8496,Hardware,Box Wrench (Double Head),"Type 2: Box Wrench, Class 1: Angled end, Style B: Long length. These double head, thin wall, high strength box wrenches come in a 12 point design. AS954.",13.08,EA,H
5120-01-379-5440,Hardware,Box Wrench (Double Head),"Type 2: Box Wrench, Class 1: Angled end, Style B: Long length. These double head, thin wall, high strength box wrenches come in a 12 point design. AS954.",9.75,EA,H
5120-01-380-8971,Hardware,Mechanical Finger,"Flexible midsection is spiral-wound armored cable. For retrieving screws, washers, nuts, bolts & pins from difficult places. Consists of housing, plunger, coil spring & retracting jaws. The plunger activates tempered spring steel jaws with a 13/16"" jaw op",8.92,EA,H
5120-01-380-8975,Hardware,Screwdriver Bit (Adapter/Holder),"Screwdriver bit holders/extensions are designed for use with hand driven tools. Corrosion resistant. Described by (Drive Size, Female Shank Size, Length).",13.15,EA,H
5120-01-380-8985,Hardware,Screwdriver Bit (Phillips),"These screwdriver bits are designed for use with hand driven tools. The hardened steel bit includes a male hexagonal shank and is corrosion resistant. Described by (Size, Shank, Length).",0.72,EA,H
5120-01-380-9000,Hardware,Electrical Connector Pliers,"Designed for loosening and tightening threaded lock collar of electrical connectors. Plastic jaw inserts prevent marring of the gripping surface of the collar. Jaw opening is 3/4 to 2-1/2"" with a minimum of four jaw positions. ASME B107.500 Cat 27",14.71,EA,H
5120-01-380-9002,Hardware,Vise Grip Pliers (Straight Jaw),"Type 1: Locking pliers, Class 1: Straight jaws, Style A: Without cutters These multi-purpose, positive grip tools can function as a portable vise clamp, adjustable end wrench and locking pliers. These pliers can securely hold hexagonal and square nuts and",11.89,EA,H
5120-01-380-9004,Hardware,Screwdriver Bit (Phillips),"These screwdriver bits are designed for use with hand driven tools. The hardened steel bit includes a male hexagonal shank and is corrosion resistant. Described by (Size, Shank, Length).",0.29,EA,H
5120-01-380-9005,Hardware,Screwdriver Bit (Phillips),"These screwdriver bits are designed for use with hand driven tools. The hardened steel bit includes a male hexagonal shank and is corrosion resistant. Described by (Size, Shank, Length).",0.29,EA,H
5120-01-384-6169,Hardware,Socket Screwdriver Bit Set (Hex Tip),"This set consists of (12) regular length pieces: (4) 1/4"" drive: 1/16"", 5/64"", 3/32"" & 7/64"". (8) 3/8"" drive: 1/8"", 9/64"", 5/32"", 3/16"", 7/32"", 1/4"", 5/16"" & 3/8"". Replaceable bits. Socket with bit set. The hardened steel tool has a plated or treated surf",36.65,SE,H
5120-01-387-0055,Hardware,Flare Nut Wrench (Single Head),"Forged steel flare nut wrench has a corrosion preventive coating & is for tightening & loosening tube fittings, stuffing gland nuts & similar flare nuts. Has a nondistortion design, with heads that are angled at 15°.",17.14,EA,H
5120-01-387-5435,Hardware,Socket,"IAW US Army Tank-Automotive Command drawing number 12369972, Rev B.",134.29,EA,H
5120-01-388-6821,Hardware,Staple Gun (Hammer Type),"Hammer type gun is manually operated and accommodates 140 flat top staples having 0.05"" gauges, with 1/4, 5/16, 3/8 and 1/2"" long legs. For use on display materials, furniture and mattress fabrication, roofing and carpet installation. This heavy duty, man",37.58,EA,H
5120-01-392-2922,Hardware,Fin Installation Tool,This fin installation tool is made with heat treated steel.,378.63,EA,H
5120-01-393-1580,Hardware,Socket Wrench (Breaker Bar),This steel breaker bar has a round shank and comfortable handgrip. The square male drive tang has a spring loaded steel ball to hold the sockets and attachments firmly. The hinged socket drive is permanently attached to the handle fork and can move 90° to,56.58,EA,H
5120-01-395-7196,Hardware,Blacksmith's/Engineer's Hammer (Hand Drilling),"This Engineer's double faced hand drilling hammer features an octagonal face on each end of the head. This hammer is intended specifically for use in striking chisels, punches, star drills, spikes & large hardened nails. These hardened, heavy striking too",35.99,EA,H
5120-01-395-7207,Hardware,Blacksmith's/Engineer's Hammer (Hand Drilling),"This Engineer's double faced hand drilling hammer features an octagonal face on each end of the head. This hammer is intended specifically for use in striking chisels, punches, star drills, spikes & large hardened nails. These hardened, heavy striking too",29.83,EA,H
5120-01-396-5914,Hardware,Torque Wrench,Capacity: 300 to 2500 inch pounds in 10 inch pound increments. Type 1: Bi-directional. Class 2: Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be operat,174.34,EA,H
5120-01-396-5917,Hardware,Torque Wrench,Capacity: 30 to 250 foot pounds in 1 foot pound increments. Type 1: Bi-directional. Class 2: Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be operated ,209.01,EA,H
5120-01-396-5955,Hardware,Torque Wrench,Capacity: 30 to 200 inch pounds in 1 inch pound increments. Type 1: Bi-directional. Class 2: Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be operated ,161.51,EA,H
5120-01-396-5959,Hardware,Torque Wrench,Capacity: 30 to 250 inch pounds in 1 inch pound increments. Type 1: Bi-directional. Class 2: Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be operated ,125.18,EA,H
5120-01-396-6067,Hardware,Torque Wrench,Capacity: 10 to 50 inch pounds in 1 inch pound increments. Type 2: Uni-directional. Class 1: Non-Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be opera,176.83,EA,H
5120-01-396-6070,Hardware,Torque Wrench,Capacity: 30 to 150 inch pounds in 2 inch pound increments. Type 2: Uni-directional. Class 1: Non-Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be oper,136.66,EA,H
5120-01-396-6071,Hardware,Torque Wrench,Capacity: 30 to 150 inch pounds in 1 inch pound increments. Type 2: Uni-directional. Class 2: Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be operated,174.56,EA,H
5120-01-396-6072,Hardware,Torque Wrench,Capacity: 100 to 500 foot pounds in 5 foot pound increments. Type 2: Uni-directional. Class 1: Non-Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be ope,595.1,EA,H
5120-01-396-6074,Hardware,Torque Wrench,Capacity: 15 to 75 foot pounds in 0.5 foot pound increments. Type 2: Uni-directional. Class 2: Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be operate,174.56,EA,H
5120-01-396-6075,Hardware,Torque Wrench,Capacity: 700 to 1600 inch pounds in 10 inch pound increments. Type 2: Uni-directional. Class 1: Non-Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be o,190.36,EA,H
5120-01-397-1293,Hardware,Hex Key (Ball End),Long series has a long arm length for reaching difficult areas or for providing greater leverage. This ball end style hex key (Allen) wrench set tightens and loosens fasteners with a hexagonal hole in the screw head and can be used at angles up to 25°. Th,0.82,EA,H
5120-01-397-2945,Hardware,Screwdriver Bit (Phillips),"These screwdriver bits are designed for use with hand driven tools. The hardened steel bit includes a male hexagonal shank and is corrosion resistant. Described by (Size, Shank, Length).",0.88,EA,H
5120-01-397-3058,Hardware,Socket (Regular Length),"Type I: Sockets, Class 1: Sockets (12 Point), Style A: Regular Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954",4.39,EA,H
5120-01-397-3064,Hardware,Socket (Regular Length),"Type I: Sockets, Class 1: Sockets (12 Point), Style A: Regular Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954",4.39,EA,H
5120-01-397-3154,Hardware,Socket (Regular Length),"Type I: Sockets, Class 1: Sockets (12 Point), Style A: Regular Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954",4.66,EA,H
5120-01-397-3176,Hardware,Socket (Regular Length),"Type I: Sockets, Class 1: Sockets (12 Point), Style A: Regular Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954",5.34,EA,H
5120-01-397-3177,Hardware,Socket (Regular Length),"Type I: Sockets, Class 1: Sockets (12 Point), Style A: Regular Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954",2.36,EA,H
5120-01-397-3183,Hardware,Socket (Long Length),"Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",7.36,EA,H
5120-01-397-3186,Hardware,Socket (Long Length),"Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",9.12,EA,H
5120-01-397-3188,Hardware,Socket (Long Length),"Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",8.43,EA,H
5120-01-398-2869,Hardware,Screw Extractor,"Extractor is designed to remove screws from aircraft panels. Type 2: Spiral Flute Extractor. These hand operated extractors remove broken screws, pipes, bolts, studs and fittings from threaded openings. B107.410 Cat 46.",406.93,EA,H
5120-01-398-7594,Hardware,Adjustable Wrench (Crescent),"This heavy duty, open ended, adjustable crescent wrench has a knurled or serrated worm adjustment. The head is angled at 22-1/2°. Consists of frame (fixed jaw and handle), movable jaw and adjusting worm. ASME B107.100 Cat 8.",28.55,EA,H
5120-01-398-7641,Hardware,Socket Wrench (Reversible Ratchet),"Style B: Fine Action. This socket wrench has a steel handle, round shank and comfortable handgrip. The male drive tang has a spring loaded steel ball to hold sockets and attachments firmly in place. It has a gear head or clutch type ratchet mechanism and ",20.1,EA,H
5120-01-398-7654,Hardware,Hex Key,Short series has a arm length that is suitable for normal use. This hex key (Allen) wrench tightens & loosens fasteners with a hexagonal hole in the screw head. This L-shaped tool has a double ended shaft that bends 90° to form a short arm and a long arm.,0.14,EA,H
5120-01-398-7662,Hardware,Hex Key,Short series has a arm length that is suitable for normal use. This hex key (Allen) wrench tightens & loosens fasteners with a hexagonal hole in the screw head. This L-shaped tool has a double ended shaft that bends 90° to form a short arm and a long arm.,4,PG,H
5120-01-398-7673,Hardware,Socket Extension (Solid Shank),"This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",10.83,EA,H
5120-01-398-7677,Hardware,Socket Extension (Solid Shank),"This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",6.83,EA,H
5120-01-398-7690,Hardware,Socket Wrench (Reversible Ratchet),"Style B: Fine Action. This socket wrench has a steel handle, round shank and comfortable handgrip. The male drive tang has a spring loaded steel ball to hold sockets and attachments firmly in place. It has a gear head or clutch type ratchet mechanism and ",13.27,EA,H
5120-01-398-7692,Hardware,Socket Extension (Solid Shank),"This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",3.18,EA,H
5120-01-398-7693,Hardware,Socket Extension (Solid Shank),"This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",1.79,EA,H
5120-01-398-7695,Hardware,Socket Extension (Solid Shank),"This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",3.05,EA,H
5120-01-398-7702,Hardware,Metric Socket (Regular Length),"When working in a confined area with limited turning space, you need a metric socket to fix that problem. These are for hand use only, no impact wrenches. (Described by: Size, Drive, Point Style) ASME B107.5M",5.94,EA,H
5120-01-398-7703,Hardware,Socket Wrench Handle (Spin-Type),"This chrome plated screwdriver type socket wrench works perfectly for driving nuts. The round steel shank is secured in a plastic handle & has a square drive tang, with a spring loaded steel ball, to hold sockets & attachments securely.  ASME B107.10.",14.12,EA,H
5120-01-398-7714,Hardware,Socket (Regular Length),"Type 1: Sockets (6 Point). Class 1: Regular Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size",4.75,EA,H
5120-01-398-7718,Hardware,Socket (Regular Length),"Type 1: Sockets (6 Point). Class 1: Regular Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size",4.68,EA,H
5120-01-398-7722,Hardware,Socket (Regular Length),"Type 1: Sockets (6 Point). Class 1: Regular Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size",4.7,EA,H
5120-01-398-7730,Hardware,Socket (Regular Length),"Type I: Sockets, Class 1: Sockets (12 Point), Style A: Regular Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954",4.7,EA,H
5120-01-398-7756,Hardware,Metric Socket (Regular Length),"When working in a confined area with limited turning space, you need a metric socket to fix that problem. These are for hand use only, no impact wrenches. (Described by: Size, Drive, Point Style) ASME B107.5M",4.43,EA,H
5120-01-398-7852,Hardware,Metric Socket (Regular Length),"Type I: Metric Sockets, Class 1: Metric Sockets, Style A: Regular Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS",6.58,EA,H
5120-01-398-7885,Hardware,Socket Extension (Solid Shank),"This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",10.55,EA,H
